_pageUrl,title,year,text,people,tags,,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Seeking a Friend for the End of the World,-2012,As an asteroid nears Earth a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.,Dir: Lorene Scafaria With: Steve Carell Keira Knightley Melanie Lynskey,Adventure , Comedy , Drama , Romance , Sci-Fi,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Finding Nemo,-2003,After his son is captured in the Great Barrier Reef and taken to Sydney a timid clownfish sets out on a journey to bring him home.,Dir: Andrew Stanton Lee Unkrich With: Albert Brooks Ellen DeGeneres Alexander Gould,Animation , Adventure , Comedy , Family,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Exodus: Gods and Kings,-2014,The defiant leader Moses rises up against the Egyptian Pharaoh Ramses setting 600000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.,Dir: Ridley Scott With: Christian Bale Joel Edgerton Ben Kingsley,Action , Adventure , Biography , Drama,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Thor,-2011,The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth) where he soon becomes one of their finest defenders.,Dir: Kenneth Branagh With: Chris Hemsworth Anthony Hopkins Natalie Portman,Action , Adventure , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Battleship,-2012,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Dir: Peter Berg With: Alexander Skarsgård Brooklyn Decker Liam Neeson,Action , Adventure , Sci-Fi , Thriller,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Walk,-2015,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,Dir: Robert Zemeckis With: Joseph Gordon-Levitt Ben Kingsley Charlotte Le Bon,Adventure , Biography , Drama , Thriller,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Pirates of the Caribbean: The Curse of the Black Pearl,-2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love the governor's daughter from Jack's former pirate allies who are now undead.",Dir: Gore Verbinski With: Johnny Depp Geoffrey Rush Orlando Bloom,Action , Adventure , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Da Vinci's Demons,(2013 TV Series),"Written by David S. Goyer the series follows the ""untold"" story of Leonardo Da Vinci: the genius during his early years in Renaissance Florence...",With: Tom Riley Laura Haddock Elliot Cowan,Adventure , Drama , Fantasy , History , Mystery,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Hobbit: The Desolation of Smaug,-2013,The dwarves along with Bilbo Baggins and Gandalf the Grey continue their quest to reclaim Erebor their homeland from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.,Dir: Peter Jackson With: Ian McKellen Martin Freeman Richard Armitage,Adventure , Fantasy,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Thor: The Dark World,-2013,When Dr Jane Foster gets cursed with a powerful object Thor must protect it before an army and its ruthless leader try to get their hands on it to take over the remains of Earth.,Dir: Alan Taylor With: Chris Hemsworth Natalie Portman Tom Hiddleston,Action , Adventure , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Big Game,-2014,A young teenager camping in the woods helps rescue the President of the United States when Air Force One is shot down near his campsite.,Dir: Jalmari Helander With: Samuel L. Jackson Onni Tommila Ray Stevenson,Action , Adventure,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Armageddon,-1998,After discovering that an asteroid the size of Texas is going to impact Earth in less than a month N.A.S.A. recruits a misfit team of deep core drillers to save the planet.,Dir: Michael Bay With: Bruce Willis Billy Bob Thornton Ben Affleck,Action , Adventure , Sci-Fi , Thriller,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Doctor Strange,-2016,After his career is destroyed a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.,Dir: Scott Derrickson With: Rachel McAdams Benedict Cumberbatch Mads Mikkelsen,Adventure , Fantasy,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Lego Movie,-2014,An ordinary Lego construction worker thought to be the prophesied 'Special' is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.,Dir: Phil Lord Christopher Miller With: Chris Pratt Will Ferrell Elizabeth Banks,Animation , Action , Adventure , Comedy , Family , Fantasy,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Casino Royale,-2006,Armed with a licence to kill Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale but things are not what they seem.,Dir: Martin Campbell With: Daniel Craig Eva Green Judi Dench,Action , Adventure , Thriller,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Star Trek Into Darkness,-2013,After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.,Dir: J.J. Abrams With: Chris Pine Zachary Quinto Zoe Saldana,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Incredibles,-2004,A family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world.,Dir: Brad Bird With: Craig T. Nelson Samuel L. Jackson Holly Hunter,Animation , Action , Adventure , Family,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Star Wars: Episode V - The Empire Strikes Back,-1980,After the rebels have been brutally overpowered by the Empire on their newly established base Luke Skywalker takes advanced Jedi training with Master Yoda while his friends are pursued by Darth Vader as part of his plan to capture Luke.,Dir: Irvin Kershner With: Mark Hamill Harrison Ford Carrie Fisher,Action , Adventure , Fantasy , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Harry Potter and the Half-Blood Prince,-2009,"As Harry Potter begins his sixth year at Hogwarts he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Dir: David Yates With: Daniel Radcliffe Emma Watson Rupert Grint,Adventure , Family , Fantasy , Mystery,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Transformers,-2007,An ancient struggle between two Cybertronian races the heroic Autobots and the evil Decepticons comes to Earth with a clue to the ultimate power held by a teenager.,Dir: Michael Bay With: Shia LaBeouf Megan Fox Josh Duhamel,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Attack on Titan,(2013 TV Series),After his hometown is destroyed and his mother is killed young Eren Jaegar vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.,With: Marina Inoue Yuki Kaji Josh Grelle,Animation , Action , Adventure , Drama , Fantasy , Horror,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Iron Man 3,-2013,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin he starts an odyssey of rebuilding and retribution.,Dir: Shane Black With: Robert Downey Jr. Guy Pearce Gwyneth Paltrow,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Barely Lethal,-2015,"A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",Dir: Kyle Newman With: Jaime King Samuel L. Jackson Madeleine Stack,Action , Adventure , Comedy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Percy Jackson & the Olympians: The Lightning Thief,-2010,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Dir: Chris Columbus With: Logan Lerman Kevin McKidd Steve Coogan,Adventure , Family , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Spider-Man,-2002,When bitten by a genetically modified spider a nerdy shy and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.,Dir: Sam Raimi With: Tobey Maguire Kirsten Dunst Willem Dafoe,Action , Adventure,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Lord of the Rings: The Two Towers,-2002,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Sauron's new ally Saruman and his hordes of Isengard.,Dir: Peter Jackson With: Elijah Wood Ian McKellen Viggo Mortensen,Adventure , Fantasy,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,World War Z,-2013,United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments and threatening to destroy humanity itself.,Dir: Marc Forster With: Brad Pitt Mireille Enos Daniella Kertesz,Action , Adventure , Horror , Sci-Fi , Thriller,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Iron Man,-2008,After being held captive in an Afghan cave an industrialist creates a unique weaponized suit of armor to fight evil.,Dir: Jon Favreau With: Robert Downey Jr. Gwyneth Paltrow Terrence Howard,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,We're the Millers,-2013,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,Dir: Rawson Marshall Thurber With: Jason Sudeikis Jennifer Aniston Emma Roberts,Action , Adventure , Comedy , Crime,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Jem and the Holograms,-2015,As a small-town girl catapults from underground video sensation to global superstar she and her three sisters begin a journey of discovering that some talents are too special to keep hidden.,Dir: Jon M. Chu With: Molly Ringwald Juliette Lewis Ryan Guzman,Adventure , Drama , Fantasy , Music,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Back to the Future Part II,-1989,After visiting 2015 Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985... without interfering with his first trip.,Dir: Robert Zemeckis With: Michael J. Fox Christopher Lloyd Lea Thompson,Action , Adventure , Comedy , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,The Fifth Element,-1997,In the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay.,Dir: Luc Besson With: Bruce Willis Milla Jovovich Gary Oldman,Action , Adventure , Romance , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=101&title_type=featuretv_seriestv_movie,Sleepy Hollow,(2013 TV Series),Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.,With: Tom Mison Nicole Beharie Lyndie Greenwood,Adventure , Drama , Fantasy , Mystery , Thriller,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,The Iron Giant,-1999,A boy makes friend with a robot from outer space but the army are not happy with a robot in the city.,Dir: Brad Bird With: Eli Marienthal Harry Connick Jr. Jennifer Aniston,Animation , Action , Adventure , Comedy , Drama , Family , Sci-Fi,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Harry Potter and the Order of the Phoenix,-2007,With their warning about Lord Voldemort's return scoffed at Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.,Dir: David Yates With: Daniel Radcliffe Emma Watson Rupert Grint,Adventure , Family , Fantasy , Mystery,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Charlie and the Chocolate Factory,-2005,A young boy wins a tour through the most magnificent chocolate factory in the world led by the world's most unusual candy maker.,Dir: Tim Burton With: Johnny Depp Freddie Highmore David Kelly,Adventure , Comedy , Family , Fantasy,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Serenity,-2005,The crew of the ship Serenity tries to evade an assassin sent to recapture one of their number who is telepathic.,Dir: Joss Whedon With: Nathan Fillion Gina Torres Chiwetel Ejiofor,Action , Adventure , Sci-Fi , Thriller,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,The Peanuts Movie,-2015,Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis while his best pal Charlie Brown begins his own epic quest back home.,Dir: Steve Martino With: Madisyn Shipman Francesca Capaldi Mariel Sheets,Animation , Adventure , Comedy , Family,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Lawrence of Arabia,-1962,Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.,Dir: David Lean With: Peter O'Toole Alec Guinness Anthony Quinn,Adventure , Biography , Drama , History , War,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Big Fish,-2003,A son tries to learn more about his dying father by reliving stories and myths he told about his life.,Dir: Tim Burton With: Ewan McGregor Albert Finney Billy Crudup,Adventure , Drama , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Star Trek: Voyager,(1995 TV Series),Pulled to the far side of the Galaxy where the Federation is 75 years away at maximum warp speed a Starfleet ship must cooperate with Maquis rebels to find a way home.,With: Kate Mulgrew Robert Beltran Roxann Dawson,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Dragon Ball Z: Resurrection 'F',-2015,One peaceful day on Earth two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed and Frieza subsequently seeks revenge on the Saiyans.,Dir: Tadayoshi Yamamuro With: Masako Nozawa Ryô Horikawa Hiromi Tsuru,Animation , Action , Adventure , Comedy , Fantasy , Sci-Fi,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Gravity Falls,(2012 TV Series),Dipper and Mabel Pines spend the summer at their great uncle's tourist trap The Mystery Shack. They think it's just going to be another usual summer until mysterious things begin occurring all over town.,With: Jason Ritter Kristen Schaal Alex Hirsch,Animation , Adventure , Comedy , Family , Mystery,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Penguins of Madagascar,-2014,Skipper Kowalski Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.,Dir: Eric Darnell Simon J. Smith With: Tom McGrath Chris Miller Christopher Knights,Animation , Adventure , Comedy , Family,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Raiders of the Lost Ark,-1981,Archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis.,Dir: Steven Spielberg With: Harrison Ford Karen Allen Paul Freeman,Action , Adventure,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,After Earth,-2013,A crash landing leaves Kitai Raige and his father Cypher stranded on Earth a millennium after events forced humanity's escape. With Cypher injured Kitai must embark on a perilous journey to signal for help.,Dir: M. Night Shyamalan With: Jaden Smith David Denman Will Smith,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Barry Lyndon,-1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Dir: Stanley Kubrick With: Ryan O'Neal Marisa Berenson Patrick Magee,Adventure , Drama , History , War,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,The Good Dinosaur,-2015,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Dir: Peter Sohn With: Raymond Ochoa Jeffrey Wright Steve Zahn,Animation , Adventure , Comedy , Family , Fantasy,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Harry Potter and the Deathly Hallows: Part 1,-2010,As Harry races against time and evil to destroy the Horcruxes he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.,Dir: David Yates With: Daniel Radcliffe Emma Watson Rupert Grint,Adventure , Family , Fantasy , Mystery,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Star Trek: Deep Space Nine,(1993 TV Series),Orbiting the liberated planet of Bajor a Federation space station guards the opening of a stable wormhole to the far side of the Galaxy.,With: Avery Brooks Rene Auberjonois Cirroc Lofton,Action , Adventure , Drama , Sci-Fi,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Merlin,(2008 TV Series),The adventures of the legendary sorcerer as a young man.,With: John Hurt Bradley James Colin Morgan,Adventure , Drama , Fantasy,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,The Incredible Hulk,-2008,Bruce Banner a scientist on the run from the U.S. Government must find a cure for the monster he emerges whenever he loses his temper. However Banner then must fight a soldier whom unleashes himself as a threat stronger than he.,Dir: Louis Leterrier With: Edward Norton Liv Tyler Tim Roth,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Jaws,-1975,When a gigantic great white shark begins to menace the small island community of Amity a police chief a marine scientist and grizzled fisherman set out to stop it.,Dir: Steven Spielberg With: Roy Scheider Robert Shaw Richard Dreyfuss,Adventure , Drama , Thriller,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Fantastic Four,-2005,A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy Doctor Victor Von Doom.,Dir: Tim Story With: Ioan Gruffudd Michael Chiklis Chris Evans,Action , Adventure , Sci-Fi,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Spider-Man 3,-2007,A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains temptations and revenge.,Dir: Sam Raimi With: Tobey Maguire Kirsten Dunst Topher Grace,Action , Adventure,,,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,GoldenEye,-1995,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent believed to be dead.,Dir: Martin Campbell With: Pierce Brosnan Sean Bean Izabella Scorupco,Action , Adventure , Sci-Fi , Thriller,,,,,,,
http://www.imdb.com/search/title?at=0&genres=adventure&sort=moviemeterasc&start=201&title_type=featuretv_seriestv_movie,Prince of Persia: The Sands of Time,-2010,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Dir: Mike Newell With: Jake Gyllenhaal Gemma Arterton Ben Kingsley,Action , Adventure , Fantasy , Romance,,,,,,,
